,id,shortDescription,merchantId,gender,merchandiseLabel,merchandiseLabelField,isCustomizable,availableSizes,stockTotal,url,promotionLabel,type,brand.id,brand.name,images.cutOut,images.model,images.all,priceInfo.formattedFinalPrice,priceInfo.formattedInitialPrice,priceInfo.finalPrice,priceInfo.initialPrice,priceInfo.currencyCode,priceInfo.isOnSale,priceInfo.discountLabel,priceInfo.installmentsLabel,properties.rankingTrackingId,properties.isLimoncello
115,15243256,Monogram phone holder,13539,women,,NoTag,False,"[{'scaleId': 14, 'size': 'One Size'}]",1569,/ge/shopping/women/saint-laurent-monogram-phone-holder-item-15243256.aspx?storeid=13539,,Product,547344,Saint Laurent,https://cdn-images.farfetch-contents.com/15/24/32/56/15243256_26525617_480.jpg,https://cdn-images.farfetch-contents.com/15/24/32/56/15243256_26525618_480.jpg,,$745,$745,745.0,745.0,USD,False,,,FiPGpJA9XW+0nL,
116,19300774,2022 unworn GMT-Master II 40mm,10213,unisex,Pre-Order,NoTag,False,"[{'scaleId': 14, 'size': 'One Size'}]",1,/ge/shopping/men/rolex-2022-unworn-gmt-master-ii-40mm-item-19300774.aspx?storeid=10213,,Product,3539544,Rolex,https://cdn-images.farfetch-contents.com/19/30/07/74/19300774_42527510_480.jpg,https://cdn-images.farfetch-contents.com/19/30/07/74/19300774_42527386_480.jpg,,"$30,278","$30,278",30278.0,30278.0,USD,False,,,FiPGpJA9XW+0nL,
117,19257460,sprayed logo-print T-shirt ,12592,men,New Season,NewSeason,False,"[{'scaleId': 114, 'size': 'XS'}, {'scaleId': 114, 'size': 'S'}, {'scaleId': 114, 'size': 'M'}, {'scaleId': 114, 'size': 'L'}, {'scaleId': 114, 'size': 'XL'}]",371,/ge/shopping/men/palm-angels-sprayed-logo-print-t-shirt-item-19257460.aspx?storeid=12592,,Product,2186014,Palm Angels,https://cdn-images.farfetch-contents.com/19/25/74/60/19257460_42392995_480.jpg,https://cdn-images.farfetch-contents.com/19/25/74/60/19257460_42392994_480.jpg,,$238,$238,238.0,238.0,USD,False,,,FiPGpJA9XW+0nL,
118,17995408,Ami de Coeur organic cotton sweatshirt,11410,unisex,Conscious,NoTag,False,"[{'scaleId': 114, 'size': 'XXS'}, {'scaleId': 114, 'size': 'XS'}, {'scaleId': 114, 'size': 'S'}, {'scaleId': 114, 'size': 'M'}, {'scaleId': 114, 'size': 'L'}, {'scaleId': 114, 'size': 'XL'}, {'scaleId': 114, 'size': 'XXL'}, {'scaleId': 114, 'size': 'XXXL'}]",2182,/ge/shopping/women/ami-paris-ami-de-coeur-organic-cotton-sweatshirt-item-17995408.aspx?storeid=11410,,Product,228660,AMI Paris,https://cdn-images.farfetch-contents.com/17/99/54/08/17995408_40015587_480.jpg,https://cdn-images.farfetch-contents.com/17/99/54/08/17995408_40016572_480.jpg,,$336,$336,336.0,336.0,USD,False,,,FiPGpJA9XW+0nL,
119,19167108,327 low-top sneakers,14489,men,New Season,NewSeason,False,,1,/ge/shopping/men/new-balance-327-low-top-sneakers-item-19167108.aspx?storeid=14489,,Product,61861,New Balance,https://cdn-images.farfetch-contents.com/19/16/71/08/19167108_41951346_480.jpg,https://cdn-images.farfetch-contents.com/19/16/71/08/19167108_41951342_480.jpg,,$213,$213,213.0,213.0,USD,False,,,FiPGpJA9XW+0nL,
120,15383077,Venturi runner sneakers,13537,women,Conscious,NoTag,False,,862,/ge/shopping/women/veja-venturi-runner-sneakers-item-15383077.aspx?storeid=13537,,Product,164,VEJA,https://cdn-images.farfetch-contents.com/15/38/30/77/15383077_31315740_480.jpg,https://cdn-images.farfetch-contents.com/15/38/30/77/15383077_31315741_480.jpg,,$188,$188,188.0,188.0,USD,False,,,FiPGpJA9XW+0nL,
121,17089592,550 low-top sneakers ,11218,unisex,,NoTag,False,,46,/ge/shopping/women/new-balance-550-low-top-sneakers-item-17089592.aspx?storeid=11218,,Product,61861,New Balance,https://cdn-images.farfetch-contents.com/17/08/95/92/17089592_34723812_480.jpg,https://cdn-images.farfetch-contents.com/17/08/95/92/17089592_34723806_480.jpg,,$166,$166,166.0,166.0,USD,False,,,FiPGpJA9XW+0nL,
122,16555041,The Tote mini bag,11696,women,,NoTag,False,"[{'scaleId': 14, 'size': 'One Size'}]",488,/ge/shopping/women/marc-jacobs-the-tote-mini-bag-item-16555041.aspx?storeid=11696,,Product,2762,Marc Jacobs,https://cdn-images.farfetch-contents.com/16/55/50/41/16555041_32312081_480.jpg,https://cdn-images.farfetch-contents.com/16/55/50/41/16555041_32312080_480.jpg,,$187,$187,187.0,187.0,USD,False,,,FiPGpJA9XW+0nL,
123,18471513,chunky lace-up sneakers,9783,men,New Season,NewSeason,False,,352,/ge/shopping/men/lanvin-chunky-lace-up-sneakers-item-18471513.aspx?storeid=9783,,Product,5757,Lanvin,https://cdn-images.farfetch-contents.com/18/47/15/13/18471513_39768833_480.jpg,https://cdn-images.farfetch-contents.com/18/47/15/13/18471513_39768836_480.jpg,,$794,$794,794.0,794.0,USD,False,,,FiPGpJA9XW+0nL,
124,16713232,Banana lamp US plug,12614,unisex,,NoTag,False,"[{'scaleId': 14, 'size': 'One Size'}]",5,/ge/shopping/men/seletti-banana-lamp-us-plug-item-16713232.aspx?storeid=12614,,Product,8823190,Seletti,https://cdn-images.farfetch-contents.com/16/71/32/32/16713232_33055170_480.jpg,https://cdn-images.farfetch-contents.com/16/71/32/32/16713232_33054301_480.jpg,,$335,$335,335.0,335.0,USD,False,,,FiPGpJA9XW+0nL,
